,name,constellation,spectral,radius,rotation,age,distance,magnitude
30,Антарес 9776,Близнецы,A2M,153255692.0,715.3,5.2,343723.32,3.06
26,Бетельгейзе 8703,Водолей,T4V,153562874.0,484.37,4.52,9882808.96,4.77
3,Хадар 9997,Телец,B3K,156877571.0,536.9,3.26,8391141.05,7.4
66,Акрукс 1076,Стрелец,E1W,160083355.0,867.38,4.29,4440335.59,9.4
125,Солнце 1241,Весы,A7J,166278677.0,766.97,2.24,8797437.29,1.83
65,Полярная звезда 7779,Лев,W5W,187597231.0,224.2,2.11,8856546.47,7.19
36,Антарес 1706,Дева,S0Y,188542415.0,146.62,2.29,1545830.63,6.82
81,Хадар 4569,Рыбы,E8S,195836281.0,808.91,4.31,4811035.1,3.08
32,Фомалхаут 8960,Весы,L9M,199778913.0,482.41,2.38,4553349.18,5.3
41,Акрукс 9710,Весы,X1U,235834811.0,487.37,1.94,8641372.32,7.58
63,Канопус 3998,Рыбы,D7W,249994058.0,391.93,5.84,7854616.79,8.1
113,Хадар 5810,Скорпион,D3X,263263465.0,288.45,0.43,2624107.72,5.02
89,Солнце 4193,Лев,T0O,265919180.0,92.56,2.64,3636711.73,3.62
22,Альфа Центавра 4026,Лев,T6P,267199392.0,761.34,1.5,3125092.28,4.72
83,Ригель 6050,Рак,J6W,272503162.0,581.35,2.48,4705461.83,8.52
29,Канопус 9368,Близнецы,H3W,281609750.0,994.48,4.4,660602.52,9.01
97,Солнце 3022,Рыбы,O4K,290927659.0,238.42,1.27,3203116.76,4.72
8,Солнце 7810,Дева,V3L,293439621.0,929.81,3.05,121546.2,7.19
159,Солнце 7378,Скорпион,R0X,296174443.0,652.2,2.28,4242418.64,5.18
79,Альфа Центавра 5691,Водолей,D6A,298854459.0,587.98,0.69,1428921.25,8.64
70,Акрукс 5027,Дева,U5C,301412272.0,293.49,3.07,7435158.78,9.75
51,Акрукс 7495,Овен,S1J,301414829.0,268.73,3.54,3341780.13,6.12
134,Бетельгейзе 6276,Телец,K7V,319294405.0,617.93,0.16,729818.05,8.68
160,Фомалхаут 5140,Лев,P0W,326523168.0,351.44,2.72,9018351.35,4.21
60,Акрукс 1145,Рыбы,B3W,330284268.0,616.6,3.62,7607587.95,4.28
71,Хадар 8260,Рак,M7Q,331191795.0,386.89,0.8,196107.22,9.28
100,Солнце 3423,Близнецы,I4J,340438882.0,293.04,5.37,2327784.09,7.64
122,Полярная звезда 7268,Скорпион,L4M,355715308.0,136.41,3.29,2577332.86,5.02
139,Канопус 9933,Дева,B2G,358157452.0,76.53,4.2,6644244.27,1.93
136,Бетельгейзе 3164,Телец,F3C,372707929.0,28.22,4.79,7885494.1,2.03
40,Акрукс 2017,Близнецы,G7E,375561328.0,613.49,5.13,5191997.53,8.89
156,Фомальгаут 7773,Лев,K1K,382214822.0,112.77,4.75,5024615.39,2.82
149,Канопус 1391,Стрелец,Q6H,388159053.0,296.92,2.98,7300929.12,4.55
107,Антарес 1676,Близнецы,V5F,394037086.0,503.5,3.4,6679528.61,5.6
69,Солнце 3678,Козерог,I4F,394108276.0,162.43,4.68,9716574.85,9.12
133,Солнце 7285,Скорпион,Q1A,396836905.0,878.56,4.1,6634750.8,9.4
92,Фомалхаут 7117,Близнецы,A4D,406395031.0,669.2,1.02,5917930.65,4.46
19,Акрукс 8237,Дева,B1B,414602200.0,578.84,1.79,5691332.61,6.7
141,Фомалхаут 8007,Телец,B6V,419688000.0,135.82,0.65,1617526.27,6.52
144,Альфа Центавра 3971,Скорпион,O4H,425912417.0,294.85,1.34,3169716.85,8.1
6,Вега 7247,Овен,R5O,426186938.0,241.79,4.46,4054019.96,9.67
11,Канопус 2181,Рыбы,W5M,426706725.0,12.43,4.94,1357827.55,3.89
10,Фомальгаут 7961,Овен,R3L,436786978.0,848.04,4.42,7300166.4,7.76
58,Бетельгейзе 3781,Овен,M7J,443218990.0,184.35,2.08,2686211.18,5.76
143,Фомалхаут 8531,Телец,H9M,447596915.0,757.41,0.51,8735798.56,1.79
46,Полярная звезда 4699,Рыбы,S8R,466033833.0,691.58,0.08,7620783.35,7.5
120,Фомалхаут 3252,Лев,K3U,475734216.0,665.89,5.04,7763385.67,9.17
48,Акрукс 7587,Лев,N7S,478498740.0,635.8,0.89,825878.6,9.7
158,Канопус 5262,Лев,X1R,490785931.0,491.29,1.32,4793938.08,2.94
47,Антарес 2369,Водолей,A0Y,492343872.0,814.53,5.07,891114.81,7.86
18,Ригель 6591,Лев,R5J,494844561.0,894.37,3.76,8100437.24,4.43
128,Фомалхаут 7686,Весы,O7K,510181434.0,987.91,2.71,5734714.38,1.16
124,Бетельгейзе 5120,Рак,E2M,510304205.0,469.41,2.22,8523817.11,1.14
77,Ригель 1006,Козерог,B0G,515945854.0,20.4,1.16,8772765.8,5.52
157,Антарес 4001,Весы,V0V,527601895.0,974.39,0.49,9318110.61,3.3
7,Канопус 8322,Лев,X5L,534335537.0,371.78,1.72,3019144.54,9.52
61,Вега 7745,Весы,B9M,539486257.0,182.62,2.82,7667992.22,5.44
78,Альфа Центавра 6451,Рак,E2W,543552537.0,203.13,1.79,3671781.37,8.71
52,Антарес 9455,Рыбы,N9R,565196638.0,249.03,4.53,9677443.22,9.36
0,Солнце 1850,Телец,T0V,570866666.0,533.7,1.92,1739069.09,3.18
93,Альфа Центавра 9877,Близнецы,P8Y,582979738.0,837.35,0.48,6268657.24,2.86
138,Антарес 2298,Рак,O0G,583715871.0,315.67,0.39,252246.85,1.42
5,Хадар 7386,Близнецы,E9B,586604745.0,130.87,0.87,3790097.95,4.6
146,Фомальгаут 9684,Телец,U8N,590383281.0,592.9,3.05,4678509.07,6.46
116,Ригель 4374,Телец,O7E,622876270.0,890.29,3.6,7830421.7,6.75
119,Антарес 7281,Козерог,N0G,632371212.0,326.03,5.15,3347447.07,4.65
135,Альфа Центавра 3342,Весы,R9B,635796645.0,822.09,2.45,5236351.81,8.42
16,Акрукс 3104,Скорпион,T6W,637020231.0,907.35,1.18,5462889.28,2.68
103,Альфа Центавра 3350,Весы,I8X,668691135.0,206.75,4.69,9639211.09,6.48
62,Бетельгейзе 9321,Близнецы,R2N,669259239.0,578.26,0.11,9548389.16,9.11
90,Альфа Центавра 2185,Близнецы,P3S,669492851.0,459.02,1.74,8728074.76,3.39
73,Фомальгаут 4956,Козерог,R6A,678763992.0,243.3,5.2,8871955.72,1.96
106,Ригель 5233,Лев,F3M,680932233.0,994.73,5.97,3651890.16,2.12
126,Акрукс 1141,Овен,P1N,680955207.0,344.37,1.31,2172725.95,9.55
74,Альфа Центавра 2334,Телец,W0I,688122805.0,901.83,2.77,4461358.02,7.13
148,Альфа Центавра 3738,Рак,F3M,691980632.0,163.43,0.19,3605433.93,2.9
55,Бетельгейзе 3590,Весы,M3N,699976392.0,110.71,2.32,6173282.57,2.9
96,Ригель 5780,Козерог,E1V,704807058.0,142.96,5.37,7719756.54,7.77
132,Фомальгаут 2875,Козерог,B4E,710291857.0,996.66,5.62,2258182.9,4.97
115,Канопус 8715,Телец,G9V,711709823.0,982.36,0.59,4368955.76,1.85
12,Хадар 5080,Лев,W7S,713561252.0,949.07,4.75,4098630.88,9.1
105,Акрукс 9029,Стрелец,K1Y,719322161.0,8.92,2.94,1176711.12,1.4
123,Фомалхаут 8306,Близнецы,H7P,721268922.0,392.56,0.29,615998.57,6.56
39,Бетельгейзе 5089,Близнецы,G0Z,722057381.0,493.22,5.65,902434.17,1.8
50,Антарес 1084,Лев,B8H,749445503.0,81.19,0.75,6649936.23,5.05
68,Бетельгейзе 3068,Скорпион,Q4I,766713542.0,80.49,2.18,1176168.09,3.18
20,Акрукс 6797,Лев,D7B,778211106.0,496.99,3.22,4717991.85,8.25
145,Фомальгаут 4116,Стрелец,P1W,783751055.0,6.06,4.35,5489112.81,9.29
28,Бетельгейзе 3738,Водолей,I8Y,786502398.0,275.42,5.63,1959372.75,6.55
117,Канопус 4236,Стрелец,R7C,787412745.0,480.09,0.53,8577126.21,1.1
99,Ригель 9492,Скорпион,C0R,792200809.0,434.19,0.53,79763.12,8.8
95,Хадар 9493,Скорпион,U5W,792914173.0,440.15,2.92,5716290.5,9.76
76,Вега 1983,Рак,I4L,794717749.0,987.83,4.61,5227414.97,6.6
64,Канопус 2182,Дева,B7Z,796452314.0,226.28,2.69,1800494.39,4.31
56,Хадар 6721,Водолей,H4S,796578971.0,383.02,1.53,3631428.06,1.19
15,Ригель 4366,Овен,V2V,798221143.0,40.19,5.42,9451814.37,4.76
24,Полярная звезда 6707,Рак,Z3Q,809532208.0,568.85,3.64,8337448.57,2.74
34,Ригель 3892,Дева,F2T,823601271.0,509.41,3.16,8838709.77,5.23
131,Хадар 5099,Скорпион,K8T,831779087.0,494.77,4.3,2810999.73,2.75
57,Акрукс 6431,Стрелец,J8E,835919331.0,518.6,5.36,837477.7,7.07
130,Солнце 9094,Овен,U4F,837645018.0,848.37,0.38,8088273.94,9.38
94,Солнце 2499,Рак,P1Z,837869321.0,363.04,1.5,6806646.87,3.02
4,Бетельгейзе 1340,Телец,T6U,847788337.0,811.45,4.16,5098489.08,1.05
35,Антарес 1376,Телец,X3A,848075054.0,195.36,1.99,2084860.67,1.07
154,Хадар 7968,Телец,S7O,858302264.0,244.03,4.79,9489002.29,8.67
53,Ригель 6409,Рак,F8H,862292652.0,276.77,3.72,6437071.24,4.96
153,Фомалхаут 3008,Телец,E9K,863586824.0,371.34,4.76,521340.67,1.0
111,Альфа Центавра 1957,Овен,O6M,864601440.0,505.29,0.22,2478944.63,1.08
31,Солнце 3560,Телец,L2L,881791755.0,519.57,0.23,7437376.92,7.69
112,Антарес 7513,Овен,N2A,887254781.0,845.96,2.14,5774493.33,6.82
121,Солнце 4707,Телец,O2Y,918844136.0,169.0,2.94,670210.09,6.12
67,Акрукс 3782,Дева,B9Q,921008309.0,994.2,5.61,1595318.49,6.72
82,Альфа Центавра 4391,Рак,P6E,926519285.0,323.52,3.25,8572854.44,1.68
72,Полярная звезда 8051,Водолей,O7G,927903766.0,205.8,1.39,5821965.22,9.59
85,Вега 3326,Близнецы,N9L,936321007.0,840.13,3.18,3558124.47,6.47
17,Ригель 6894,Овен,H3Y,945489029.0,550.18,5.49,3274700.64,3.7
80,Фомалхаут 1791,Лев,A7V,945710672.0,468.94,0.91,3572575.22,5.78
98,Ригель 4019,Водолей,M4U,955986145.0,222.53,2.63,7857711.0,3.13
108,Фомальгаут 1065,Дева,S2F,958151277.0,129.02,0.79,6829102.52,5.48
147,Солнце 1446,Рак,B8K,960117454.0,151.1,5.45,3013504.62,2.58
152,Антарес 8358,Водолей,R1J,962915371.0,311.58,0.49,6353732.88,6.74
87,Антарес 5727,Телец,M3G,967438881.0,350.62,2.75,1396109.48,4.33
14,Антарес 6968,Телец,T9T,980991598.0,16.73,3.67,1675592.02,9.81
27,Хадар 9920,Лев,K7D,982192114.0,167.28,2.73,5031689.68,2.12
127,Бетельгейзе 4447,Козерог,C9C,985551289.0,849.94,5.87,5890925.0,4.06
140,Ригель 2008,Стрелец,N1J,988804617.0,351.02,1.65,6231769.72,8.58
150,Хадар 1375,Козерог,A2N,995509302.0,320.3,4.5,3371053.74,4.77
