,id,name,category,size,color,material,price,rating,reviews,new,exclusive,sporty
314,304963803,Converse Jacket Y-3705,Jacket,M,Синий,Нейлон,722068.0,1.4,205571.0,+,,yes
315,530892958,Under Armour Shoes H-1750,Shoes,M,Желтый,Шелк,364613.0,4.83,186124.0,+,no,
325,759167695,Vans T-shirt G-4053,T-shirt,M,Оранжевый,Лен,702083.0,1.97,465185.0,+,yes,yes
327,785645847,Reebok Hat N-6111,Hat,L,Красный,Шелк,755966.0,3.86,913173.0,+,no,yes
337,568854820,Converse Gloves J-6701,Gloves,M,Красный,Хлопок,527770.0,3.39,850765.0,+,,no
341,606591430,PleinSport Umbrellas E-3931,Umbrellas,XXL,Синий,Шелк,750229.0,2.16,652125.0,+,,
343,997734517,Addidas Shirt N-1272,Shirt,M,Голубой,Полиэстер,830024.0,3.06,966497.0,+,,yes
344,767655734,Asics Shirt J-3362,Shirt,L,Желтый,Лен,612468.0,4.45,422062.0,+,,
348,886420690,Converse Socks G-9059,Socks,XXL,Зеленый,Лен,767411.0,2.08,319719.0,+,,
354,809189956,New Balance T-shirt G-5673,T-shirt,XL,Голубой,Кожа,333753.0,1.05,708858.0,+,yes,
360,782721030,Asics Pants H-5476,Pants,XL,Зеленый,Шерсть,960778.0,2.35,939894.0,+,yes,
362,899997721,Addidas Shirt L-5877,Shirt,XL,Желтый,Вискоза,519239.0,3.45,261950.0,+,,
371,151719734,Ellesse Shoes S-9367,Shoes,L,Красный,Шелк,630121.0,1.36,590113.0,+,yes,no
375,450458085,Asics Sweater N-3300,Sweater,XL,Красный,Вискоза,236946.0,2.07,378622.0,+,,
377,641896692,Nike Shoes S-9152,Shoes,XL,Красный,Вискоза,651386.0,1.51,500178.0,+,yes,
381,829366732,Adidas Jacket R-8128,Jacket,S,Красный,Шерсть,585027.0,1.1,148323.0,+,,yes
382,784611807,Adidas Socks A-5582,Socks,M,Красный,Вискоза,291492.0,2.43,832888.0,+,,
383,295114187,Brooks Pants P-6651,Pants,L,Синий,Кожа,838950.0,3.39,241228.0,+,yes,
387,207320900,Addidas Hat J-3004,Hat,L,Фиолетовый,Кожа,993091.0,2.09,644596.0,+,,
390,563359450,New Balance Jeans P-5966,Jeans,S,Голубой,Лен,664217.0,3.98,643340.0,+,,no
391,875702956,Brooks Hat C-7374,Hat,M,Голубой,Лен,713461.0,4.57,840275.0,+,no,
398,477505150,Addidas Pants D-3901,Pants,S,Синий,Шерсть,902344.0,2.72,567234.0,+,no,
404,406228943,Adidas Jeans N-1935,Jeans,L,Фиолетовый,Нейлон,488106.0,3.22,138333.0,+,,no
413,992258420,Under Armour Shirt A-2206,Shirt,XL,Оранжевый,Хлопок,461477.0,3.89,44643.0,+,,yes
420,444016006,Fila Dress U-7937,Dress,XXL,Синий,Хлопок,381798.0,1.6,718072.0,+,,
433,953841004,Adidas Gloves H-6437,Gloves,XXL,Фиолетовый,Шелк,979252.0,1.95,987563.0,+,no,yes
443,171057425,Fila Shoes Z-6187,Shoes,XL,Красный,Полиэстер,258426.0,2.53,995670.0,+,no,
446,120153656,New Balance Handbags F-6365,Handbags,L,Желтый,Хлопок,505997.0,2.94,568126.0,+,no,yes
447,362482270,Vans Socks B-2595,Socks,XL,Голубой,Шерсть,606086.0,3.46,392508.0,+,no,
452,202767326,Converse Gloves K-3495,Gloves,XL,Фиолетовый,Шелк,697501.0,3.44,954983.0,+,yes,no
458,579425797,Brooks Umbrellas E-7685,Umbrellas,M,Красный,Хлопок,618556.0,3.99,391466.0,+,yes,no
459,993180991,New Balance Pants R-6749,Pants,XL,Зеленый,Полиэстер,221643.0,3.18,230510.0,+,no,
462,403914039,Brooks Shoes W-8205,Shoes,S,Синий,Шелк,737296.0,1.79,608002.0,+,,no
468,944824145,DC Blouse N-8976,Blouse,XL,Синий,Полиэстер,144567.0,2.0,118309.0,+,,no
471,306052828,Nike Belts V-9418,Belts,S,Фиолетовый,Полиэстер,908876.0,1.03,678921.0,+,no,no
476,253187597,Adidas Blouse O-1296,Blouse,XXL,Зеленый,Полиэстер,176067.0,4.48,312399.0,+,no,no
477,839962021,Reebok Pants M-2573,Pants,M,Синий,Шерсть,401850.0,4.18,196957.0,+,no,
483,189916261,Reebok Belts G-7664,Belts,S,Синий,Шелк,765233.0,4.04,537547.0,+,,yes
485,981042886,Addidas Umbrellas M-2337,Umbrellas,XL,Синий,Нейлон,348678.0,1.65,403394.0,+,no,
488,480037525,Ellesse Shoes E-4288,Shoes,XXL,Красный,Хлопок,980014.0,1.83,539103.0,+,,yes
489,576725789,Ellesse Skirt D-3630,Skirt,L,Синий,Кожа,164292.0,2.97,723014.0,+,yes,
494,190233059,Ellesse Belts A-1943,Belts,XL,Оранжевый,Хлопок,565207.0,4.43,172374.0,+,yes,yes
497,837973993,Converse Blouse P-7001,Blouse,XL,Красный,Полиэстер,241507.0,3.9,135500.0,+,yes,
498,123131800,Converse Socks L-9906,Socks,M,Синий,Полиэстер,909267.0,4.9,236678.0,+,,
502,230146708,Adidas Umbrellas S-5711,Umbrellas,XXL,Голубой,Вискоза,454356.0,1.66,584693.0,+,no,yes
504,301826182,PleinSport Dress H-3281,Dress,XXL,Оранжевый,Шелк,149111.0,3.08,535883.0,+,no,no
508,255118656,Nike Socks B-9245,Socks,L,Фиолетовый,Нейлон,380530.0,1.95,94259.0,+,no,
511,128434001,Under Armour Blouse U-6763,Blouse,S,Голубой,Шерсть,256610.0,2.05,193152.0,+,yes,
523,426083201,Fila Jacket Z-2918,Jacket,XL,Красный,Полиэстер,733931.0,4.13,246153.0,+,no,
532,520648131,Lacoste Shoes S-4185,Shoes,XL,Оранжевый,Кожа,648834.0,3.9,369908.0,+,yes,yes
544,248985637,DC Belts I-7004,Belts,XXL,Зеленый,Кожа,661285.0,2.09,471006.0,+,no,no
545,724242197,Nike Sweater S-6773,Sweater,L,Фиолетовый,Лен,605437.0,1.74,559668.0,+,no,yes
546,682031489,Under Armour Pants C-5627,Pants,L,Фиолетовый,Шелк,794837.0,4.55,486842.0,+,,yes
547,312716928,Puma Handbags E-9913,Handbags,M,Оранжевый,Шелк,299385.0,4.34,397089.0,+,no,
548,687962214,Nike Shoes U-2496,Shoes,L,Фиолетовый,Хлопок,152575.0,3.01,57568.0,+,yes,
551,842222272,Puma Hat B-5224,Hat,S,Оранжевый,Хлопок,159621.0,3.76,351289.0,+,no,
553,453973184,Nike Pants D-9335,Pants,XL,Оранжевый,Вискоза,975047.0,1.06,346925.0,+,,no
556,618604740,Nike Belts A-4602,Belts,L,Оранжевый,Шелк,148047.0,3.97,351479.0,+,,
573,879812548,Lacoste T-shirt R-7954,T-shirt,XL,Фиолетовый,Нейлон,111592.0,1.62,802934.0,+,,no
578,977118278,Reebok Shoes Q-1247,Shoes,M,Красный,Шелк,729872.0,3.92,242520.0,+,no,yes
579,324780939,Ellesse Handbags Y-6742,Handbags,L,Голубой,Шерсть,609814.0,2.54,150664.0,+,no,
580,914070657,Adidas Sweater B-2383,Sweater,M,Красный,Шелк,245548.0,2.51,3265.0,+,,
585,447647736,Ellesse Sweater Q-7414,Sweater,M,Красный,Шерсть,798676.0,1.43,825762.0,+,,
590,731733501,DC Belts P-9483,Belts,XL,Красный,Вискоза,204508.0,3.9,312235.0,+,no,no
599,988538545,New Balance Socks W-3182,Socks,S,Красный,Шелк,852219.0,1.65,276522.0,+,no,
601,410358857,Converse Shoes A-3507,Shoes,M,Зеленый,Лен,526672.0,4.39,128205.0,+,,
608,449476397,PleinSport Socks A-1472,Socks,M,Желтый,Полиэстер,461904.0,1.02,764187.0,+,,
610,573962995,Brooks Belts J-1999,Belts,XXL,Оранжевый,Лен,209862.0,1.74,910573.0,+,yes,no
613,419108041,Adidas Handbags Z-7722,Handbags,L,Оранжевый,Нейлон,193121.0,2.8,82401.0,+,no,
614,713309787,Fila Socks J-1593,Socks,M,Зеленый,Шелк,679002.0,2.35,18090.0,+,,yes
616,806522239,Addidas Skirt D-3563,Skirt,XXL,Зеленый,Полиэстер,213967.0,2.36,734996.0,+,,no
629,334360361,Lacoste Blouse S-5702,Blouse,XL,Зеленый,Хлопок,546444.0,4.16,436850.0,+,,yes
630,591962945,New Balance Gloves O-5123,Gloves,XL,Фиолетовый,Лен,462515.0,3.61,201793.0,+,yes,
632,248139850,Nike Dress K-6872,Dress,M,Красный,Кожа,306247.0,4.02,890314.0,+,,no
640,886133636,Asics Dress P-4100,Dress,XXL,Красный,Вискоза,111349.0,1.55,605622.0,+,yes,
644,753573488,Vans Pants Y-9357,Pants,XL,Голубой,Лен,337669.0,2.43,374677.0,+,no,
648,509270634,DC Dress O-5819,Dress,L,Красный,Шерсть,311036.0,2.63,713620.0,+,no,
654,598200452,Lacoste Hat B-6198,Hat,XXL,Синий,Лен,368060.0,4.14,588094.0,+,yes,no
659,967261731,DC Shoes C-2068,Shoes,XXL,Красный,Кожа,306741.0,4.69,750182.0,+,no,no
661,311658049,DC Shoes V-8428,Shoes,L,Голубой,Шелк,688433.0,4.91,47513.0,+,,
667,186915737,Addidas Skirt A-5753,Skirt,XL,Зеленый,Нейлон,744991.0,3.89,650175.0,+,no,no
672,441416438,Puma Belts J-5420,Belts,M,Синий,Кожа,789027.0,3.01,24085.0,+,no,no
681,445172783,Puma Socks W-4078,Socks,XXL,Оранжевый,Шерсть,152927.0,2.08,74564.0,+,no,
682,776981649,Brooks Belts F-2637,Belts,XXL,Оранжевый,Шелк,166468.0,1.07,941964.0,+,,
691,391250410,Under Armour Shirt N-2863,Shirt,XL,Оранжевый,Кожа,171113.0,3.73,226752.0,+,no,yes
699,766941970,Ellesse Gloves Y-5860,Gloves,M,Синий,Кожа,984665.0,1.63,851081.0,+,yes,no
704,440176941,Addidas Gloves E-5500,Gloves,L,Голубой,Лен,226306.0,2.91,984698.0,+,,
710,414751534,Adidas Jeans S-4930,Jeans,XXL,Оранжевый,Шерсть,733047.0,4.18,733247.0,+,,yes
711,965354841,Adidas T-shirt X-6986,T-shirt,XL,Красный,Кожа,746199.0,3.99,580510.0,+,no,
717,653146288,PleinSport Gloves Y-3971,Gloves,XXL,Фиолетовый,Шерсть,275764.0,4.98,855048.0,+,,no
721,638153626,Brooks T-shirt T-5683,T-shirt,S,Красный,Хлопок,307997.0,3.15,547074.0,+,no,no
723,261357869,Puma Skirt N-2921,Skirt,XL,Фиолетовый,Полиэстер,531108.0,4.95,973994.0,+,,yes
726,397299887,Addidas Shoes K-7338,Shoes,XL,Оранжевый,Шерсть,683854.0,4.03,880020.0,+,yes,yes
728,906537381,Under Armour Hat O-7429,Hat,XL,Желтый,Шелк,336769.0,3.26,858092.0,+,no,
729,894012207,Lacoste Hat V-5256,Hat,L,Красный,Хлопок,155656.0,4.43,152255.0,+,,
734,541661225,Reebok Belts X-7037,Belts,M,Фиолетовый,Вискоза,750609.0,1.67,529228.0,+,yes,yes
735,120397229,Nike Shoes N-2763,Shoes,S,Красный,Шерсть,470394.0,4.39,400055.0,+,yes,no
738,204394340,Asics Hat A-9235,Hat,XL,Красный,Хлопок,272519.0,4.14,775149.0,+,yes,
741,550495970,DC Belts Y-5792,Belts,XXL,Фиолетовый,Вискоза,613472.0,3.73,66138.0,+,yes,no
745,685122769,Brooks Socks Q-3092,Socks,XXL,Голубой,Нейлон,239677.0,3.8,738032.0,+,,
750,969361893,Reebok Shirt O-4932,Shirt,S,Синий,Кожа,827292.0,4.55,796340.0,+,no,
752,229126858,Nike Handbags S-2666,Handbags,S,Синий,Шелк,699758.0,2.97,163453.0,+,yes,
766,732008268,Adidas T-shirt V-5812,T-shirt,XL,Оранжевый,Полиэстер,915437.0,2.08,456896.0,+,no,no
769,210263895,Converse Handbags U-6876,Handbags,XXL,Голубой,Шерсть,433891.0,2.17,960032.0,+,no,no
770,536508491,Reebok Handbags W-8495,Handbags,M,Оранжевый,Шелк,441113.0,4.79,968456.0,+,,
774,450970495,DC Dress X-6592,Dress,L,Оранжевый,Нейлон,792943.0,2.2,628912.0,+,,yes
785,156184844,PleinSport Dress J-3974,Dress,XXL,Желтый,Шерсть,972309.0,4.62,899474.0,+,no,no
788,552232336,PleinSport Blouse V-3808,Blouse,M,Голубой,Шелк,572332.0,2.88,347982.0,+,no,no
796,209086974,DC T-shirt U-8550,T-shirt,XXL,Зеленый,Шелк,855039.0,4.53,627196.0,+,yes,
798,575721475,Ellesse Jacket X-1163,Jacket,XXL,Зеленый,Шелк,330235.0,4.14,610355.0,+,yes,yes
805,803278499,Addidas T-shirt J-3846,T-shirt,XXL,Оранжевый,Вискоза,424626.0,4.44,28775.0,+,no,yes
806,124675571,New Balance Belts I-9338,Belts,L,Зеленый,Кожа,461231.0,1.47,706637.0,+,no,yes
807,363780550,Addidas Pants C-3282,Pants,XXL,Красный,Вискоза,819526.0,4.84,888148.0,+,,no
808,271042859,Converse Socks D-9072,Socks,S,Синий,Шелк,316771.0,4.02,833757.0,+,no,no
813,792391986,Puma Shirt Y-9011,Shirt,L,Красный,Полиэстер,683263.0,3.13,147642.0,+,no,
827,543698932,Converse Gloves V-3565,Gloves,M,Голубой,Шерсть,343814.0,3.31,169190.0,+,yes,no
829,724344167,Under Armour Jacket W-5317,Jacket,M,Фиолетовый,Нейлон,205692.0,1.47,510542.0,+,no,yes
831,524977245,Reebok Jacket J-9905,Jacket,L,Желтый,Кожа,709174.0,3.72,882607.0,+,,yes
833,791645862,Puma Umbrellas K-4091,Umbrellas,M,Синий,Шелк,136044.0,1.72,17670.0,+,yes,
835,568955533,Reebok Pants N-9919,Pants,M,Синий,Хлопок,630474.0,2.12,636149.0,+,,yes
837,596752391,Lacoste Gloves E-6638,Gloves,M,Красный,Вискоза,796839.0,4.51,58512.0,+,no,yes
838,938725341,PleinSport Blouse I-6751,Blouse,L,Фиолетовый,Хлопок,984084.0,1.31,492907.0,+,no,no
842,783987257,Lacoste Hat B-5278,Hat,S,Зеленый,Шелк,829210.0,4.93,63114.0,+,no,no
846,917270858,Puma Jacket Q-6148,Jacket,M,Желтый,Шерсть,254619.0,3.2,23129.0,+,,
848,103501094,Under Armour Skirt I-9243,Skirt,XXL,Синий,Кожа,776982.0,1.64,592395.0,+,,
851,175934851,Brooks Shirt G-8410,Shirt,S,Синий,Полиэстер,553931.0,4.17,458717.0,+,yes,no
856,481305233,New Balance Sweater E-8815,Sweater,S,Фиолетовый,Кожа,708485.0,3.65,462287.0,+,yes,no
862,308543939,Asics Skirt D-5276,Skirt,M,Синий,Кожа,373763.0,3.39,787601.0,+,,
864,966176562,Nike Shirt V-1639,Shirt,XL,Желтый,Полиэстер,954509.0,2.33,569778.0,+,,
866,437374418,Converse Belts C-8279,Belts,XL,Зеленый,Шелк,625399.0,1.8,443731.0,+,,no
867,851101370,Vans Blouse X-3176,Blouse,XXL,Голубой,Хлопок,504152.0,1.95,766007.0,+,no,
869,525013465,Brooks Skirt I-1239,Skirt,S,Оранжевый,Шерсть,965748.0,4.07,331248.0,+,no,yes
871,513270860,Adidas Handbags G-8493,Handbags,S,Оранжевый,Полиэстер,184840.0,1.38,777697.0,+,yes,no
881,149268699,New Balance Sweater X-5209,Sweater,S,Желтый,Нейлон,148461.0,2.98,769330.0,+,no,no
887,937695163,Brooks Handbags O-1250,Handbags,L,Желтый,Полиэстер,898852.0,1.21,508426.0,+,,yes
908,140117378,Fila Jeans F-1047,Jeans,S,Желтый,Шелк,165655.0,4.9,952620.0,+,no,yes
923,525123810,Asics Jacket C-9120,Jacket,XL,Оранжевый,Полиэстер,311686.0,1.42,309801.0,+,no,yes
929,322513474,Nike Jeans V-1146,Jeans,M,Желтый,Вискоза,797984.0,3.5,451422.0,+,,no
930,382023027,PleinSport Handbags W-7117,Handbags,M,Зеленый,Нейлон,115234.0,3.89,398076.0,+,no,yes
931,635085341,Adidas Shoes D-1400,Shoes,XL,Зеленый,Шелк,503258.0,3.64,205033.0,+,,
933,475627920,Brooks T-shirt I-7088,T-shirt,M,Желтый,Шелк,173607.0,1.25,5818.0,+,yes,yes
942,526801991,Addidas Blouse Y-4378,Blouse,XXL,Оранжевый,Лен,553249.0,4.85,163001.0,+,yes,no
943,282574050,Fila Belts P-3028,Belts,XXL,Фиолетовый,Шерсть,680553.0,4.68,792553.0,+,yes,
944,622257852,Vans Hat W-8937,Hat,S,Желтый,Хлопок,977530.0,4.58,996955.0,+,yes,no
946,511978539,Reebok Belts F-7635,Belts,S,Желтый,Полиэстер,867457.0,2.51,994910.0,+,yes,no
949,849370911,Brooks T-shirt B-2385,T-shirt,M,Оранжевый,Хлопок,746768.0,4.62,983039.0,+,no,
953,221085941,Ellesse Sweater G-5598,Sweater,S,Желтый,Полиэстер,807418.0,3.49,619196.0,+,,yes
954,452372143,Addidas T-shirt J-7310,T-shirt,XXL,Оранжевый,Полиэстер,808747.0,4.41,959489.0,+,,no
963,420240394,Nike Belts W-1040,Belts,M,Желтый,Кожа,625445.0,4.83,252756.0,+,yes,
967,821811716,Ellesse Jeans A-9396,Jeans,XXL,Красный,Хлопок,114470.0,3.91,906493.0,+,yes,yes
971,938344362,Brooks Belts N-5010,Belts,XL,Синий,Вискоза,636481.0,3.23,282961.0,+,yes,yes
973,552755058,DC Jacket Y-1227,Jacket,XXL,Желтый,Вискоза,735800.0,1.97,279114.0,+,,
1006,506147530,Under Armour Belts U-2893,Belts,XL,Синий,Вискоза,737414.0,3.0,937342.0,+,,
1008,744524252,Asics Sweater U-1492,Sweater,M,Красный,Кожа,908320.0,2.58,315125.0,+,no,
1015,788655805,Reebok Gloves O-5608,Gloves,XL,Оранжевый,Лен,144732.0,4.0,85889.0,+,no,no
1019,110185628,Puma Jeans B-1738,Jeans,M,Зеленый,Вискоза,583617.0,1.37,401278.0,+,yes,
1021,911180506,Addidas Umbrellas Q-8251,Umbrellas,S,Фиолетовый,Шерсть,205838.0,2.7,121312.0,+,,
1023,350928562,Fila Pants A-1265,Pants,XXL,Красный,Кожа,748459.0,2.95,929584.0,+,,yes
1024,524614649,Adidas Handbags H-7125,Handbags,L,Синий,Полиэстер,270114.0,4.9,28607.0,+,yes,yes
1027,124079304,Nike Handbags N-1497,Handbags,M,Оранжевый,Полиэстер,615539.0,1.93,513329.0,+,no,
1036,301459533,Ellesse Gloves E-6093,Gloves,M,Синий,Хлопок,687493.0,4.92,571178.0,+,yes,no
1037,655864401,Reebok Gloves N-3152,Gloves,M,Голубой,Нейлон,998155.0,3.77,15714.0,+,,yes
1039,443017246,Adidas Umbrellas D-1948,Umbrellas,S,Зеленый,Нейлон,161523.0,1.15,768854.0,+,yes,yes
1040,885648788,Ellesse T-shirt J-6838,T-shirt,XXL,Зеленый,Нейлон,367710.0,4.8,119884.0,+,no,no
1045,468136280,Fila Shoes L-9416,Shoes,S,Желтый,Вискоза,270095.0,1.07,631656.0,+,,no
1050,542344330,Ellesse Blouse R-2700,Blouse,XL,Желтый,Нейлон,174370.0,2.64,577441.0,+,,no
1051,789936530,Adidas Blouse T-4256,Blouse,XL,Зеленый,Шелк,572754.0,4.67,65837.0,+,no,no
1052,469846611,Under Armour Socks K-9898,Socks,M,Синий,Шелк,698158.0,1.26,626431.0,+,yes,
1053,532749793,Adidas Jacket A-2710,Jacket,L,Оранжевый,Шерсть,169313.0,1.76,547884.0,+,,
1057,389403392,PleinSport Belts E-4323,Belts,S,Голубой,Шелк,848227.0,4.64,106126.0,+,,yes
1062,692650448,Lacoste Shoes Y-9690,Shoes,M,Голубой,Шелк,983241.0,3.57,967384.0,+,,no
1071,683987454,Nike Hat X-4001,Hat,XL,Синий,Кожа,525196.0,1.65,540057.0,+,,no
1086,970066144,Lacoste Pants T-1944,Pants,M,Оранжевый,Кожа,300143.0,1.03,148222.0,+,yes,
1088,882521213,Converse Shirt Z-3919,Shirt,XL,Зеленый,Лен,950300.0,3.24,196423.0,+,no,no
1091,360521612,Vans Skirt E-7891,Skirt,S,Голубой,Нейлон,961213.0,3.04,862932.0,+,no,no
1095,615561281,Vans Gloves S-1883,Gloves,XL,Красный,Лен,677424.0,2.34,898460.0,+,,
1102,866426933,Nike Shirt T-7053,Shirt,S,Синий,Шелк,434742.0,2.88,937675.0,+,yes,
