,id,image,title,price,bonuses,processor,camera,sim,matrix,resolution,acc,ram
34,12566,/upload/527182.svg,"6.6"" MSI 208GB",245225,2452,,75,,IPS,1920x1440,2283,4
1644,12595,/upload/123905.png,"5.4"" Lenovo 80GB",173611,1736,8x2.0,17,4,,1366x768,5831,
1059,12638,/upload/713221.jpeg,"5.5"" Intel 32GB",287972,2879,8x1.6,,1,,,,8
386,12645,/upload/46189.png,"5.2"" Motorola 80GB",396304,3963,,,,OLED,,4688,
1977,12664,/upload/274161.png,"7.3"" Texas Instruments 16GB",479769,4797,,,,OLED,1024x1080,7337,6
2325,12673,/upload/829537.jpeg,"5.8"" Lenovo 112GB",445704,4457,,,,OLED,1366x2160,4013,14
1284,12682,/upload/312099.svg,"7.4"" ADATA 64GB",166788,1667,,,,,2560x1080,,8
1968,12694,/upload/89753.png,"6.8"" Samsung Note 176GB",475657,4756,4x3.3,,,OLED,,5440,12
1499,12731,/upload/246451.svg,"7.5"" Silicon Power 240GB",145737,1457,2x1.4,44,,,1920x2160,,
1521,12737,/upload/348776.webp,"6.9"" HTC 80GB",308743,3087,,,2,,,4651,16
435,12781,/upload/674137.webp,"6.2"" Sony 256GB",101161,1011,2x3.0,28,2,AMOLED,,3104,9
1,12810,/upload/81962.svg,"7.1"" Broadcom 240GB",492649,4926,4x1.0,,1,OLED,2560x1440,4370,
1393,12835,/upload/732109.webp,"7.5"" iPhone 13 16GB",382402,3824,,87,1,OLED,1280x768,3478,
542,12839,/upload/815540.webp,"6.6"" Intel 224GB",211080,2110,4x4.0,,1,IPS,1280x1200,,2
983,12847,/upload/428479.svg,"5.7"" ASUS 96GB",426685,4266,,38,,IPS,2560x1200,,2
2,12854,/upload/666099.jpeg,"6.6"" Samsung 32GB",430795,4307,4x2.2,104,,IPS,1366x2160,,
1095,12869,/upload/739430.jpg,"7.1"" Apple 208GB",363607,3636,,,4,AMOLED,1600x1366,7057,12
1748,12900,/upload/942208.png,"7.4"" Silicon Power 96GB",54408,544,8x3.5,72,,IPS,,5227,3
1224,12942,/upload/139198.jpeg,"6.0"" Lenovo 64GB",79125,791,,73,3,,1600x1366,,
1927,12989,/upload/889771.jpg,"7.4"" Broadcom 112GB",283919,2839,4x4.2,,3,AMOLED,,7629,13
701,13018,/upload/614575.webp,"5.8"" PNY 112GB",208746,2087,6x1.1,112,3,,1600x1366,5925,8
1145,13056,/upload/432312.jpeg,"7.1"" PNY 64GB",68443,684,,117,,,1600x1080,3423,8
2035,13174,/upload/240992.jpg,"7.5"" Huawei P 32GB",490037,4900,,59,,IPS,2560x1440,7142,
709,13184,/upload/167233.jpg,"6.6"" Lenovo 240GB",327328,3273,6x4.0,71,,,,6625,9
842,13256,/upload/554004.jpeg,"7.2"" Asus 208GB",353317,3533,4x3.6,122,4,AMOLED,,2393,
2319,13282,/upload/281528.jpeg,"7.5"" Xilinx 48GB",271218,2712,2x3.3,,,AMOLED,,2636,16
873,13295,/upload/572876.jpeg,"5.8"" LaCie 208GB",392592,3925,6x1.1,22,,OLED,,,7
231,13401,/upload/941615.jpg,"7.0"" iPhone 12 112GB",136001,1360,8x3.4,,2,,,,10
862,13405,/upload/400714.png,"5.8"" Xiaomi Mi 16GB",193000,1930,8x2.8,60,4,,,4832,7
1966,13458,/upload/445848.png,"6.3"" PNY 208GB",296892,2968,2x2.9,37,,OLED,1600x1200,3473,14
2091,13534,/upload/769930.webp,"5.9"" iPhone 12 96GB",106820,1068,4x1.9,,1,,,,12
2314,13553,/upload/626672.svg,"6.5"" HGST 144GB",200530,2005,,63,,IPS,,7595,7
1127,13578,/upload/93429.png,"6.0"" Plextor 240GB",227175,2271,,123,,OLED,1366x1200,7492,
1568,13655,/upload/73106.webp,"6.5"" Transcend 48GB",342840,3428,8x2.7,36,3,,1600x1366,,8
123,13704,/upload/579274.svg,"7.4"" LG 160GB",213083,2130,2x4.9,,,,1024x1366,4785,3
2072,13715,/upload/575411.jpeg,"5.2"" Seagate 112GB",484510,4845,8x1.1,23,3,,,,15
436,13742,/upload/421933.webp,"6.0"" Acer 208GB",408834,4088,,123,1,,1366x1200,5100,2
2012,13818,/upload/463273.webp,"5.4"" Acer 240GB",423487,4234,8x4.9,,2,IPS,1024x1440,7754,
1116,13862,/upload/586711.jpg,"6.2"" iPhone 12 160GB",290257,2902,8x2.9,,,,2560x1080,,
831,13869,/upload/871723.svg,"5.5"" HGST 192GB",426597,4265,2x4.8,,1,IPS,,,3
1528,13893,/upload/324447.webp,"5.3"" Seagate 208GB",26537,265,,,2,,,,9
1215,14008,/upload/397893.jpeg,"7.4"" Dell 240GB",260855,2608,4x2.7,,1,,1366x1200,7814,
118,14052,/upload/472851.png,"7.1"" iPhone X 16GB",162064,1620,6x1.5,21,1,,,,5
2079,14152,/upload/381430.jpeg,"6.9"" Acer 64GB",246702,2467,8x3.0,,2,OLED,1920x1200,5141,
937,14185,/upload/871737.jpeg,"5.8"" Silicon Power 160GB",273409,2734,2x3.2,,3,,2560x1366,4617,
1873,14325,/upload/100811.png,"6.7"" Gigabyte 224GB",406907,4069,4x3.1,72,,OLED,1366x1200,,
1092,14328,/upload/532265.jpg,"6.8"" Plextor 240GB",111489,1114,8x4.8,,,IPS,1280x1200,,12
624,14338,/upload/195096.svg,"5.1"" Toshiba 256GB",435766,4357,6x1.9,100,,OLED,2560x768,,
2217,14411,/upload/679852.jpeg,"7.5"" Dell 16GB",462459,4624,,,4,,2560x1080,,12
1628,14435,/upload/90812.png,"6.7"" Apple 48GB",281229,2812,,102,2,OLED,,6255,14
284,14437,/upload/186567.webp,"6.8"" Seagate 128GB",460695,4606,,72,2,,,4317,
162,14440,/upload/492571.png,"5.3"" Lenovo 240GB",405499,4054,,113,4,OLED,1366x1440,,5
112,14509,/upload/666768.svg,"6.7"" Xilinx 32GB",215554,2155,6x4.3,,,,1600x1440,2135,13
1551,14619,/upload/405301.webp,"5.2"" AMD 128GB",110280,1102,2x1.1,89,4,AMOLED,1600x1440,4822,10
2010,14639,/upload/229625.webp,"6.1"" Alcatel 192GB",244451,2444,6x4.2,,4,OLED,1920x768,4490,14
1641,14739,/upload/890178.jpeg,"7.1"" Seagate 224GB",132119,1321,6x3.1,,2,OLED,1366x1366,4720,
1566,14758,/upload/403501.png,"5.4"" Marvell 192GB",378701,3787,8x1.5,110,1,,,6442,10
1407,14826,/upload/283958.jpeg,"6.7"" NVIDIA 160GB",196824,1968,6x3.0,99,1,AMOLED,2560x1080,2834,14
1925,14834,/upload/657007.png,"5.1"" MSI 144GB",315293,3152,6x3.2,,1,IPS,,3239,
366,14851,/upload/801754.png,"6.0"" Texas Instruments 80GB",316874,3168,,37,4,,,2269,14
1724,14884,/upload/193500.webp,"6.2"" Samsung Note 208GB",79877,798,4x1.9,64,,AMOLED,,,
888,14914,/upload/982055.webp,"6.6"" Intel 32GB",23388,233,,98,1,IPS,1366x768,,
756,14931,/upload/85753.png,"5.8"" Western Digital 256GB",483963,4839,6x1.8,36,,AMOLED,1600x1440,,13
292,14946,/upload/821436.webp,"6.8"" iPhone 13 208GB",463720,4637,6x3.6,118,4,AMOLED,,,7
1655,14961,/upload/645924.svg,"5.9"" ARM 96GB",32944,329,,,,,1280x1200,5286,
1428,14998,/upload/400810.png,"6.0"" LG 80GB",170624,1706,4x1.9,81,,OLED,,6695,
325,15025,/upload/723145.svg,"5.3"" iPhone 12 112GB",62456,624,,,3,AMOLED,1280x768,3743,9
1104,15059,/upload/13458.jpeg,"6.2"" Toshiba 224GB",164714,1647,6x3.2,58,4,,1920x2160,,11
156,15066,/upload/23293.webp,"6.3"" Seagate 224GB",119946,1199,,120,3,AMOLED,,6511,
780,15134,/upload/390839.jpeg,"6.8"" Marvell 144GB",29300,293,4x5.0,,1,,,4658,6
443,15262,/upload/409797.svg,"6.0"" Texas Instruments 176GB",338694,3386,4x1.3,,3,,1280x1440,,6
2161,15310,/upload/865320.webp,"7.3"" MSI 32GB",123446,1234,2x4.7,123,2,AMOLED,,2075,10
1661,15353,/upload/275196.png,"6.8"" Hewlett-Packard 48GB",250651,2506,4x1.1,,3,,,6794,4
1306,15380,/upload/413077.jpeg,"6.7"" OPPO 208GB",372779,3727,,100,4,,1920x1200,,4
2057,15406,/upload/873744.png,"5.1"" Motorola 256GB",233269,2332,8x1.2,83,2,IPS,1366x1440,,
1807,15473,/upload/865530.svg,"7.0"" Fujitsu 160GB",308966,3089,2x1.5,,,OLED,1366x1366,,
1082,15477,/upload/198728.png,"5.7"" LaCie 224GB",211039,2110,,,4,OLED,,,3
1099,15544,/upload/178448.jpg,"5.2"" HTC 208GB",163682,1636,8x5.0,106,2,AMOLED,2560x1200,,8
2185,15549,/upload/497450.svg,"5.7"" Dell 80GB",261266,2612,,37,2,IPS,1366x2160,4404,
785,15584,/upload/608452.jpeg,"6.8"" Micron 256GB",408241,4082,8x4.3,85,3,OLED,1366x1200,,14
1608,15597,/upload/818559.jpeg,"6.6"" Gigabyte 80GB",289259,2892,,,2,AMOLED,2560x1440,4946,
280,15634,/upload/854121.png,"5.6"" Huawei P 64GB",460789,4607,,20,1,AMOLED,,,8
473,15686,/upload/16068.jpg,"5.0"" LaCie 176GB",179362,1793,,43,1,,,,15
964,15713,/upload/979491.jpg,"7.3"" Seagate 80GB",223007,2230,6x1.4,37,4,AMOLED,1280x2160,,
1955,15746,/upload/818466.svg,"6.8"" Seagate 208GB",255422,2554,,110,1,OLED,,4617,
1293,15759,/upload/452646.jpg,"7.0"" Texas Instruments 96GB",134401,1344,2x3.0,94,,AMOLED,1024x1440,,3
459,15806,/upload/46374.jpg,"5.3"" Sony 144GB",431139,4311,,106,,AMOLED,1366x2160,2611,
1416,15838,/upload/906044.png,"6.9"" Transcend 128GB",287693,2876,,19,,,1366x1366,3073,
1924,15857,/upload/215376.webp,"6.0"" IBM 256GB",336632,3366,6x1.9,,3,AMOLED,1600x1440,7114,5
1300,15863,/upload/24375.svg,"5.0"" Silicon Power 96GB",158807,1588,6x4.6,115,3,OLED,1024x1440,,
560,15888,/upload/854889.png,"6.5"" VIVO 32GB",74758,747,,,,,,5699,14
115,15905,/upload/697894.jpg,"7.1"" Transcend 80GB",126642,1266,6x2.3,,3,,1920x1080,,6
794,15970,/upload/927738.jpeg,"6.2"" Xiaomi Mi 192GB",330265,3302,2x1.0,88,3,,,,
138,15987,/upload/689810.jpeg,"6.1"" Xiaomi Mi 208GB",64058,640,,64,2,OLED,2560x2160,,
1790,16000,/upload/568031.jpg,"5.1"" Xiaomi Mi 128GB",156875,1568,2x2.5,51,1,,2560x2160,,7
1859,16028,/upload/945209.webp,"6.0"" Samsung Note 176GB",120676,1206,8x4.4,,,OLED,1024x768,5545,
1782,16029,/upload/26525.webp,"6.4"" NVIDIA 208GB",84420,844,6x1.6,51,4,AMOLED,,6966,10
1508,16082,/upload/431455.svg,"6.8"" AMD 96GB",438145,4381,,,,OLED,,5178,
1820,16100,/upload/630319.svg,"7.1"" Toshiba 96GB",258608,2586,8x3.2,,1,,1366x768,7760,8
2064,16133,/upload/115053.svg,"7.4"" SanDisk 176GB",105410,1054,6x1.3,48,,,1024x2160,,11
919,16139,/upload/58739.png,"7.3"" HGST 208GB",182823,1828,,50,3,AMOLED,,2571,11
1904,16154,/upload/857458.jpg,"7.4"" Toshiba 160GB",352259,3522,,17,2,,,3826,
1222,16160,/upload/728389.jpg,"7.4"" LaCie 256GB",102608,1026,8x5.0,62,3,AMOLED,1366x1440,,
1342,16186,/upload/297834.svg,"5.3"" ZTE 112GB",299125,2991,2x4.0,78,1,OLED,1366x768,,
912,16206,/upload/971260.svg,"7.2"" Alcatel 32GB",394486,3944,,102,4,,1600x1080,7462,
477,16276,/upload/683523.jpg,"7.3"" Asus 176GB",124007,1240,4x2.5,23,4,,1280x2160,5474,7
1896,16287,/upload/326183.png,"6.7"" ZTE 192GB",123720,1237,6x4.4,80,2,,,,15
24,16354,/upload/897086.svg,"5.6"" Alcatel 80GB",211800,2118,4x4.5,63,4,IPS,,,
260,16387,/upload/681478.svg,"6.0"" LaCie 80GB",225017,2250,,102,4,,1600x768,,16
8,16458,/upload/141836.svg,"5.4"" Microsoft 256GB",111897,1118,4x1.6,90,,,1920x1200,,
1336,16492,/upload/466723.webp,"5.4"" Sony 48GB",310692,3106,6x1.0,,,,1920x1440,,
527,16494,/upload/822249.webp,"7.0"" Motorola 16GB",467330,4673,8x2.2,,,IPS,,5011,
515,16525,/upload/923720.svg,"6.4"" Huawei P 64GB",154425,1544,,,1,,,,
277,16573,/upload/309426.jpeg,"6.2"" Broadcom 144GB",113832,1138,4x1.3,,1,OLED,,5754,
1464,16573,/upload/611371.svg,"6.2"" Motorola 224GB",228402,2284,,,,,,4877,12
1674,16577,/upload/842473.jpg,"5.0"" Huawei P 144GB",160834,1608,4x2.1,38,2,,,2279,
2222,16776,/upload/405591.svg,"5.4"" Xilinx 128GB",182842,1828,,39,,OLED,,,14
368,16868,/upload/220687.jpg,"5.7"" Hewlett-Packard 112GB",389764,3897,,81,3,AMOLED,,7875,11
1818,16869,/upload/827690.jpeg,"5.2"" Plextor 112GB",226112,2261,8x2.3,122,1,AMOLED,1024x1200,,6
2063,16934,/upload/899496.jpg,"6.9"" PNY 256GB",70488,704,4x1.1,,1,OLED,1024x1366,3030,
1594,17004,/upload/701753.png,"6.5"" iPhone X 48GB",79795,797,2x3.1,74,,,,7070,10
1851,17079,/upload/939647.png,"6.8"" Lenovo 32GB",440535,4405,2x1.9,,,OLED,1280x1200,,
2166,17081,/upload/893101.svg,"7.5"" Texas Instruments 192GB",39689,396,4x3.2,,4,OLED,,2130,
1308,17153,/upload/893316.jpeg,"6.4"" LG 256GB",396994,3969,6x1.1,23,,,1920x1200,5175,14
489,17234,/upload/221431.webp,"5.1"" Sony 224GB",328629,3286,2x1.9,44,,,1366x768,5678,
669,17265,/upload/313464.jpeg,"7.0"" Silicon Power 64GB",338951,3389,4x1.0,,,OLED,,3661,
818,17265,/upload/951427.webp,"7.0"" Xilinx 48GB",142980,1429,,21,1,IPS,1280x1080,4064,2
1021,17339,/upload/350690.png,"7.4"" Huawei P 48GB",430421,4304,8x3.1,,3,,1920x2160,,11
1466,17419,/upload/82788.jpeg,"6.0"" AMD 32GB",398504,3985,,107,,AMOLED,1280x768,4930,
1593,17422,/upload/877658.jpeg,"6.0"" SanDisk 176GB",203305,2033,4x4.5,,2,IPS,1920x1366,5089,
2220,17441,/upload/145902.svg,"7.2"" Seagate 208GB",58487,584,,,4,IPS,1600x1366,6145,8
987,17489,/upload/877869.webp,"6.1"" Texas Instruments 96GB",89666,896,4x2.8,,4,,,4825,
1895,17526,/upload/891214.svg,"6.6"" Hewlett-Packard 64GB",123986,1239,,21,3,AMOLED,1366x2160,6766,5
1546,17545,/upload/284077.jpg,"5.2"" Lenovo 96GB",213444,2134,8x4.0,,,OLED,1280x1080,3946,12
416,17570,/upload/606595.jpeg,"5.1"" Apple 208GB",240871,2408,4x4.2,54,4,OLED,1024x768,4953,10
2263,17605,/upload/920450.webp,"5.2"" AMD 240GB",120748,1207,8x3.7,127,,OLED,,,14
1179,17646,/upload/994351.jpeg,"7.2"" Samsung Note 224GB",65808,658,2x2.0,,1,,,4999,
1640,17721,/upload/678660.webp,"5.5"" ZTE 32GB",66471,664,,,2,AMOLED,2560x1440,,
690,17792,/upload/762856.jpeg,"5.8"" Sony 128GB",393581,3935,2x1.2,,4,,,5889,4
1080,17793,/upload/25717.jpg,"5.3"" ARM 16GB",411590,4115,,,,AMOLED,,,4
1770,17793,/upload/446568.jpeg,"5.0"" Seagate 176GB",210024,2100,6x4.7,97,2,,2560x1366,,12
160,17822,/upload/38293.svg,"7.0"" LG 208GB",90453,904,,32,4,,1600x768,5295,15
434,17844,/upload/861111.svg,"5.4"" Acer 160GB",169159,1691,4x3.7,100,2,,1600x1200,,
558,17845,/upload/485431.png,"5.7"" Texas Instruments 224GB",487329,4873,,32,2,,,3282,15
1208,17938,/upload/999545.svg,"5.6"" AMD 16GB",88402,884,,,4,,1024x1200,,6
2258,17973,/upload/550864.svg,"5.6"" HGST 144GB",17395,173,,125,2,OLED,1600x1080,2714,9
329,18046,/upload/804124.svg,"5.3"" Asus 32GB",430487,4304,6x1.6,22,4,OLED,1280x1080,5697,3
1186,18092,/upload/663380.webp,"6.2"" Huawei P 128GB",328859,3288,6x1.1,84,,OLED,1280x768,6993,
807,18095,/upload/539167.svg,"6.7"" LaCie 160GB",436030,4360,2x4.9,,1,IPS,,7098,
69,18102,/upload/243646.png,"7.3"" ASUS 32GB",101120,1011,,22,,IPS,1920x1080,2858,10
1819,18103,/upload/900956.jpg,"5.2"" Asus 32GB",474713,4747,8x2.8,,2,IPS,2560x1366,,8
634,18162,/upload/689073.svg,"7.1"" Xilinx 256GB",404171,4041,,,,IPS,1600x1200,,16
989,18176,/upload/276200.webp,"6.8"" OCZ 16GB",273677,2736,2x1.6,77,,,,2302,
288,18208,/upload/556154.jpg,"6.3"" Broadcom 208GB",282805,2828,6x4.0,112,1,IPS,,2754,
2272,18235,/upload/484731.jpg,"7.2"" ADATA 176GB",189527,1895,4x2.9,109,4,,,,7
1908,18241,/upload/52188.svg,"5.8"" Motorola 48GB",107397,1073,6x3.1,112,,OLED,,,15
1358,18264,/upload/723100.jpeg,"5.4"" Plextor 240GB",117513,1175,4x1.9,,2,,1366x1440,,
1265,18295,/upload/838294.jpg,"6.4"" Motorola 48GB",36044,360,4x4.7,,1,IPS,1366x768,5300,
1686,18303,/upload/703168.jpeg,"6.1"" iPhone X 80GB",208026,2080,4x3.3,123,3,AMOLED,2560x1200,2103,
902,18321,/upload/261990.svg,"5.7"" Asus 64GB",217601,2176,2x3.0,20,4,,1920x2160,,9
1700,18370,/upload/831425.jpeg,"6.7"" PNY 192GB",106714,1067,6x2.1,,3,,1920x1366,2547,16
308,18458,/upload/265027.svg,"6.1"" Corsair 160GB",166275,1662,,55,,OLED,1920x1366,,3
951,18467,/upload/474886.png,"5.7"" ZTE 192GB",293934,2939,4x2.4,,1,IPS,,,3
792,18479,/upload/994184.svg,"6.5"" HTC 208GB",11987,119,,,4,AMOLED,1024x768,,2
2266,18559,/upload/565329.jpg,"5.8"" iPhone 13 160GB",43137,431,8x4.3,,3,AMOLED,1920x1200,,10
604,18624,/upload/429616.jpg,"5.0"" iPhone 12 96GB",389637,3896,4x3.0,17,4,IPS,1366x2160,2100,8
281,18705,/upload/506133.jpg,"7.4"" Samsung Note 32GB",201627,2016,8x4.9,31,,OLED,1920x1200,3161,5
256,18721,/upload/679474.webp,"5.7"" Hewlett-Packard 208GB",13199,131,2x3.7,39,2,AMOLED,2560x1200,6966,
1110,18739,/upload/948264.svg,"6.1"" IBM 112GB",360829,3608,,,,IPS,1920x1440,2476,
2312,18741,/upload/131923.jpg,"6.1"" Broadcom 128GB",58058,580,2x4.7,25,4,IPS,1024x768,5305,5
2041,18743,/upload/171014.webp,"7.2"" Intel 224GB",271083,2710,6x5.0,26,1,OLED,1366x1366,,3
1563,18752,/upload/841609.jpeg,"6.4"" Google Pixel 64GB",424246,4242,,,1,OLED,,7048,15
463,18782,/upload/975118.jpeg,"6.8"" Western Digital 80GB",388590,3885,2x1.3,47,,IPS,,,14
550,18895,/upload/284829.png,"5.0"" Dell 128GB",351051,3510,2x3.8,69,,OLED,1024x1366,7982,9
2192,18980,/upload/931784.webp,"6.2"" Samsung 240GB",250134,2501,,35,1,AMOLED,1600x1366,3564,10
1383,18980,/upload/149890.webp,"7.4"" Nokia 32GB",103743,1037,2x3.3,,,IPS,1920x1080,,8
878,19049,/upload/900152.jpg,"7.0"" Transcend 256GB",163921,1639,,,,,,5404,16
1035,19056,/upload/418165.svg,"6.9"" Gigabyte 192GB",226501,2265,6x2.0,,,,1920x1440,,
2118,19059,/upload/87526.png,"5.0"" Motorola 16GB",440841,4408,4x2.7,103,4,,1600x1366,,
571,19244,/upload/331113.jpg,"5.1"" Microsoft 240GB",492813,4928,6x2.2,127,4,,1366x2160,,14
2301,19272,/upload/875197.png,"5.4"" AMD 192GB",50983,509,8x4.4,18,,OLED,1366x1080,5398,3
742,19298,/upload/855583.svg,"5.2"" iPhone 13 112GB",193846,1938,,124,,IPS,2560x2160,6961,
968,19304,/upload/892012.png,"6.9"" Huawei P 192GB",286679,2866,4x2.6,128,3,IPS,,,
891,19328,/upload/489565.jpeg,"7.4"" Google Pixel 48GB",284370,2843,4x1.8,32,,,,,2
