,id,image,title,price,bonuses,processor,camera,sim,matrix,resolution,acc,ram
107,92843,/upload/914614.svg,"5.0"" Samsung S21 64GB",16539,165,6x1.6,49,,OLED,1600x2160,,
110,45747,/upload/466743.jpg,"5.0"" MSI 96GB",497455,4974,6x2.2,,2,IPS,,6039,15
112,14509,/upload/666768.svg,"6.7"" Xilinx 32GB",215554,2155,6x4.3,,,,1600x1440,2135,13
113,64887,/upload/392076.png,"5.8"" Alcatel 160GB",225786,2257,8x2.6,,4,IPS,1280x1366,6591,
114,22784,/upload/216858.png,"7.0"" SanDisk 192GB",402447,4024,4x2.6,,,,,5495,13
115,15905,/upload/697894.jpg,"7.1"" Transcend 80GB",126642,1266,6x2.3,,3,,1920x1080,,6
116,51038,/upload/506625.png,"6.3"" ADATA 144GB",419155,4191,8x3.5,64,3,IPS,,7619,13
118,14052,/upload/472851.png,"7.1"" iPhone X 16GB",162064,1620,6x1.5,21,1,,,,5
122,34786,/upload/35549.jpg,"5.6"" Fujitsu 16GB",167991,1679,6x4.4,23,,OLED,1600x1200,,6
123,13704,/upload/579274.svg,"7.4"" LG 160GB",213083,2130,2x4.9,,,,1024x1366,4785,3
124,47481,/upload/79929.svg,"6.0"" Gigabyte 80GB",125573,1255,6x3.2,79,,AMOLED,1366x1080,6567,9
126,29234,/upload/821412.png,"6.1"" LaCie 240GB",208598,2085,6x2.1,,,IPS,,,
128,94296,/upload/417082.jpg,"6.8"" Acer 144GB",81801,818,2x3.4,16,2,,1600x1440,,
129,23770,/upload/375232.png,"6.9"" MSI 80GB",416502,4165,6x1.0,,,AMOLED,,,3
132,93474,/upload/753661.jpg,"7.1"" Blackberry 144GB",337756,3377,2x1.0,,2,,,4742,10
133,45954,/upload/157347.png,"6.3"" Micron 240GB",282362,2823,4x4.3,90,2,AMOLED,,7233,9
135,30254,/upload/272869.webp,"6.3"" iPhone 12 16GB",223280,2232,2x2.9,118,2,OLED,2560x1440,,
136,40990,/upload/777453.svg,"7.2"" Xiaomi Mi 96GB",29587,295,8x4.0,,,OLED,2560x768,4602,14
137,56587,/upload/668748.png,"6.7"" Corsair 144GB",18548,185,8x3.5,,3,AMOLED,,7382,
141,56408,/upload/989075.svg,"6.1"" ASUS 16GB",28800,288,6x4.1,128,,AMOLED,1600x1080,5439,13
142,49442,/upload/289943.jpeg,"7.2"" Broadcom 128GB",325484,3254,6x1.2,,,AMOLED,2560x1200,4413,4
143,11622,/upload/145367.jpg,"7.3"" Samsung S21 112GB",224954,2249,6x4.9,46,4,,,5743,11
144,65316,/upload/588519.jpeg,"5.5"" Toshiba 240GB",429055,4290,8x4.2,114,2,AMOLED,1280x1366,,12
145,28618,/upload/941745.webp,"7.5"" Acer 224GB",486738,4867,6x3.8,67,4,IPS,,3122,6
146,55707,/upload/8398.png,"7.4"" NVIDIA 176GB",342565,3425,6x2.3,82,,OLED,1600x1366,,
147,90448,/upload/86859.jpeg,"7.1"" iPhone 12 240GB",231151,2311,2x1.5,,,OLED,1920x1366,2941,
149,94617,/upload/859964.webp,"5.9"" AMD 224GB",140153,1401,6x4.1,,,OLED,,,11
150,80571,/upload/183822.png,"6.4"" Alcatel 160GB",351681,3516,4x4.9,73,3,,,5405,
151,69674,/upload/926545.jpg,"6.9"" OCZ 224GB",453285,4532,8x2.5,30,1,,,,
152,97844,/upload/80544.webp,"6.3"" Xiaomi Mi 240GB",267370,2673,2x2.9,,2,,,3122,
155,43658,/upload/381170.svg,"5.6"" HTC 192GB",232920,2329,8x1.5,23,,AMOLED,1600x2160,6841,5
158,48272,/upload/389115.png,"5.4"" Google Pixel 64GB",361644,3616,8x1.3,,4,IPS,1280x1366,,2
164,35757,/upload/950592.png,"6.4"" ARM 16GB",59236,592,4x4.8,,4,,1920x1366,4200,7
166,79899,/upload/498204.svg,"7.5"" Alcatel 128GB",71212,712,4x4.5,100,,,1600x1200,5968,12
170,11482,/upload/506929.jpg,"5.0"" Plextor 112GB",18926,189,4x1.0,29,1,,1920x1080,,2
171,57335,/upload/627719.webp,"6.7"" Lenovo 192GB",12608,126,2x3.2,54,,,1600x1080,,15
173,26923,/upload/170740.png,"5.9"" NVIDIA 256GB",303593,3035,8x1.2,117,2,IPS,,4015,9
174,31332,/upload/922750.jpeg,"5.6"" NVIDIA 16GB",32872,328,4x2.9,,,IPS,1366x1366,4899,4
175,55816,/upload/488449.svg,"7.0"" MSI 112GB",384532,3845,6x1.1,,,IPS,2560x768,3147,7
176,87603,/upload/927599.webp,"6.7"" Intel 192GB",231059,2310,4x2.8,,,AMOLED,,,
179,95913,/upload/227720.webp,"6.6"" LaCie 128GB",362526,3625,6x1.0,,,AMOLED,,7517,4
181,31648,/upload/469375.jpg,"7.0"" Microsoft 16GB",82778,827,2x1.0,65,,IPS,1920x1080,2390,4
182,82975,/upload/55708.jpeg,"6.7"" ASUS 32GB",401824,4018,4x5.0,18,,OLED,2560x1080,,12
184,86195,/upload/632167.jpeg,"6.9"" ARM 32GB",469853,4698,6x2.4,,,,,4797,
186,49153,/upload/913336.jpeg,"7.4"" Sony 32GB",414801,4148,6x3.8,70,3,,1600x1440,,9
188,21466,/upload/417734.webp,"5.9"" Acer 256GB",471458,4714,4x4.0,34,3,,1920x1440,6428,
197,55950,/upload/194938.jpeg,"7.1"" iPhone X 192GB",184442,1844,8x4.0,100,3,,2560x1366,,3
198,26596,/upload/7905.png,"5.7"" Alcatel 192GB",259318,2593,6x1.5,113,4,OLED,,7399,
201,89655,/upload/179325.jpeg,"7.2"" Lenovo 160GB",154660,1546,6x3.1,32,,,,7683,8
202,82487,/upload/191290.jpeg,"6.2"" OCZ 240GB",475660,4756,6x1.5,57,,AMOLED,,6412,12
203,60080,/upload/96255.jpg,"7.3"" LaCie 240GB",441595,4415,8x1.4,50,1,,2560x768,7299,9
205,90332,/upload/491756.jpeg,"6.6"" Lenovo 16GB",430338,4303,8x3.8,55,3,,1366x1200,,6
207,20213,/upload/136543.svg,"6.4"" Micron 192GB",374759,3747,2x2.6,23,,,2560x1440,5572,14
209,22794,/upload/587915.jpg,"6.7"" Gigabyte 224GB",171985,1719,6x4.1,61,3,,1600x2160,4395,
213,43362,/upload/928774.jpg,"6.5"" Micron 112GB",169085,1690,6x2.3,,,AMOLED,1280x1440,,10
215,57882,/upload/101530.png,"6.1"" PNY 224GB",316945,3169,4x1.2,70,,IPS,,2226,
217,79509,/upload/319954.webp,"6.7"" Acer 112GB",480626,4806,2x1.4,,3,,1024x2160,4435,
218,61392,/upload/908003.jpeg,"6.6"" Dell 224GB",86413,864,6x2.0,127,4,,1366x1200,,
220,82951,/upload/765663.jpg,"6.8"" AMD 208GB",14621,146,2x1.3,,3,IPS,1366x2160,7342,
221,44841,/upload/30795.webp,"6.0"" SanDisk 80GB",92260,922,6x2.6,39,1,IPS,,4518,7
222,94810,/upload/365022.png,"7.3"" Texas Instruments 64GB",66550,665,2x1.6,,,OLED,1024x1200,,
223,68849,/upload/261344.jpeg,"6.9"" Dell 32GB",353671,3536,4x2.7,,1,IPS,1366x1366,3791,6
224,75035,/upload/870874.png,"5.5"" Hewlett-Packard 192GB",83975,839,6x2.2,,,,1920x1200,,4
227,83572,/upload/323453.jpg,"6.2"" OPPO 240GB",182208,1822,6x2.9,,2,AMOLED,1366x768,6959,
229,20114,/upload/897551.webp,"5.7"" Toshiba 48GB",340433,3404,4x2.6,,2,,2560x768,,12
230,63001,/upload/329688.svg,"6.6"" IBM 192GB",322871,3228,4x2.7,,2,AMOLED,,4721,10
231,13401,/upload/941615.jpg,"7.0"" iPhone 12 112GB",136001,1360,8x3.4,,2,,,,10
233,38769,/upload/603030.svg,"5.9"" Plextor 192GB",322220,3222,8x1.6,25,4,IPS,1600x1080,5474,9
234,46523,/upload/819362.svg,"5.8"" PNY 80GB",239502,2395,8x2.9,128,2,,1366x1440,3696,
235,42555,/upload/856034.svg,"5.0"" Nokia 64GB",484849,4848,8x2.4,93,,IPS,2560x2160,5151,3
236,21302,/upload/365737.webp,"5.3"" Nokia 80GB",22035,220,4x3.4,86,,,,,
237,68280,/upload/749482.jpg,"6.7"" Broadcom 192GB",415480,4154,6x4.4,,3,,,,
239,26681,/upload/872592.jpg,"6.4"" MSI 128GB",19190,191,2x4.2,84,,IPS,1920x1366,2106,10
240,45758,/upload/894764.svg,"6.9"" Asus 48GB",324968,3249,2x3.2,102,4,,1920x1200,,8
242,20405,/upload/870434.jpg,"6.3"" OPPO 256GB",71149,711,8x2.4,75,2,,1024x768,4672,14
243,85202,/upload/325686.webp,"7.5"" LG 112GB",326400,3264,8x1.5,116,2,IPS,1920x1200,4148,
244,57142,/upload/632010.jpeg,"7.0"" Dell 128GB",133550,1335,8x2.8,51,,,2560x1440,,8
246,74844,/upload/429700.jpg,"6.0"" Google Pixel 176GB",493556,4935,2x2.1,,,,,7894,
248,43942,/upload/79194.png,"5.0"" Blackberry 112GB",472428,4724,8x2.5,79,4,AMOLED,2560x1200,,
250,77270,/upload/121373.jpg,"6.6"" Qualcomm 32GB",37315,373,2x3.5,86,,,,6046,
252,10922,/upload/236851.png,"7.1"" LaCie 240GB",444889,4448,2x2.4,,,IPS,1600x1080,6308,
254,73588,/upload/709205.webp,"6.3"" Transcend 128GB",79847,798,6x3.8,,1,IPS,2560x1440,,16
255,46838,/upload/871642.jpeg,"7.1"" Micron 192GB",355753,3557,8x1.1,116,4,OLED,,3628,10
256,18721,/upload/679474.webp,"5.7"" Hewlett-Packard 208GB",13199,131,2x3.7,39,2,AMOLED,2560x1200,6966,
257,73815,/upload/58496.jpg,"5.9"" OPPO 64GB",362359,3623,4x3.9,112,,OLED,1024x1200,7683,7
262,30635,/upload/440891.png,"6.3"" Seagate 144GB",451036,4510,2x2.0,,4,,,5273,14
264,79260,/upload/232169.png,"6.8"" HTC 112GB",106196,1061,6x1.4,,,,2560x2160,,3
265,26933,/upload/108311.webp,"6.4"" PNY 128GB",427729,4277,4x4.3,35,3,AMOLED,1920x768,4807,
266,91547,/upload/410062.jpg,"5.2"" Toshiba 48GB",398492,3984,8x3.0,109,3,,,,
267,99121,/upload/814960.webp,"7.5"" OCZ 112GB",17008,170,2x1.4,,,IPS,,,16
268,57611,/upload/304541.jpg,"6.6"" Dell 64GB",346853,3468,6x3.0,66,,,,3753,
269,77668,/upload/35505.webp,"7.3"" Broadcom 128GB",13515,135,4x2.6,36,,IPS,,4294,3
270,33804,/upload/644058.webp,"5.1"" VIVO 48GB",153417,1534,4x1.8,,1,,,,2
271,20422,/upload/146951.svg,"5.2"" Acer 224GB",84804,848,8x3.1,30,1,OLED,,,11
274,99060,/upload/227476.jpg,"7.1"" PNY 176GB",479598,4795,8x2.9,111,,,1280x2160,2218,
275,85767,/upload/580951.jpg,"5.0"" Western Digital 48GB",215275,2152,6x1.8,82,3,AMOLED,,,
277,16573,/upload/309426.jpeg,"6.2"" Broadcom 144GB",113832,1138,4x1.3,,1,OLED,,5754,
278,89067,/upload/362530.svg,"6.8"" Transcend 256GB",90188,901,6x2.4,82,,AMOLED,2560x1080,6050,8
281,18705,/upload/506133.jpg,"7.4"" Samsung Note 32GB",201627,2016,8x4.9,31,,OLED,1920x1200,3161,5
282,37034,/upload/466180.png,"7.5"" AMD 208GB",343001,3430,2x2.1,,,,,,
285,81854,/upload/399640.png,"6.8"" SanDisk 160GB",179819,1798,6x3.8,,,,,3908,3
287,75708,/upload/87383.webp,"7.3"" Marvell 240GB",32589,325,2x1.0,77,,AMOLED,1600x768,4475,
288,18208,/upload/556154.jpg,"6.3"" Broadcom 208GB",282805,2828,6x4.0,112,1,IPS,,2754,
289,48363,/upload/230923.jpg,"5.7"" iPhone 13 64GB",34605,346,6x3.6,,3,IPS,,2157,
290,38842,/upload/904238.jpg,"7.4"" Transcend 176GB",255410,2554,8x1.9,,1,OLED,1920x768,7294,5
291,10697,/upload/274563.jpg,"5.8"" Alcatel 208GB",291177,2911,8x3.9,,3,IPS,2560x1366,,
292,14946,/upload/821436.webp,"6.8"" iPhone 13 208GB",463720,4637,6x3.6,118,4,AMOLED,,,7
293,51454,/upload/684600.webp,"5.9"" Texas Instruments 16GB",223590,2235,4x1.0,,,,2560x2160,6290,8
294,95534,/upload/591140.jpeg,"6.7"" Transcend 32GB",263539,2635,2x1.5,25,1,IPS,1920x768,3110,5
295,53316,/upload/720110.svg,"5.8"" VIVO 160GB",362865,3628,6x4.3,,,AMOLED,1280x768,4377,
296,55864,/upload/624475.webp,"6.5"" iPhone X 256GB",169220,1692,4x4.9,55,2,OLED,1366x1440,4791,
297,35603,/upload/182461.svg,"7.4"" iPhone 12 96GB",368935,3689,4x1.5,38,2,AMOLED,1024x1440,5508,8
298,43491,/upload/572474.svg,"7.2"" Samsung Note 16GB",363303,3633,6x2.9,42,,,,4629,
302,24085,/upload/331592.png,"7.1"" Xilinx 96GB",447767,4477,8x1.2,118,4,IPS,,2681,9
303,44623,/upload/388192.png,"7.5"" Toshiba 192GB",303971,3039,6x2.5,,,,1600x1366,5324,11
305,71621,/upload/226107.jpeg,"6.1"" PNY 208GB",401675,4016,4x2.4,,,IPS,,6771,
306,64071,/upload/881702.png,"6.5"" Acer 192GB",17704,177,2x1.6,,,IPS,1024x1440,,
310,12178,/upload/785050.jpeg,"6.2"" OPPO 96GB",302612,3026,6x1.6,90,2,,1920x768,,10
311,99197,/upload/172805.jpeg,"5.7"" Silicon Power 112GB",494898,4948,4x3.1,,2,,,,2
312,26620,/upload/345069.jpeg,"7.3"" Seagate 256GB",222685,2226,8x3.0,23,,OLED,2560x1440,,14
314,92295,/upload/407301.svg,"7.0"" Google Pixel 160GB",278904,2789,6x4.4,,,,2560x1200,2929,
315,90313,/upload/872185.svg,"6.5"" SanDisk 176GB",376123,3761,2x4.9,20,,IPS,,3567,
319,51565,/upload/405447.png,"5.9"" OPPO 128GB",294138,2941,8x2.6,29,4,AMOLED,1366x1366,2856,
323,67194,/upload/619639.webp,"5.0"" HTC 32GB",37175,371,8x3.9,,4,,1366x1080,2605,14
324,80466,/upload/514299.svg,"6.8"" Motorola 96GB",82427,824,8x3.9,27,1,,1366x1080,,2
326,92363,/upload/936927.png,"7.0"" Micron 192GB",77705,777,4x3.9,109,3,,,,5
327,38730,/upload/435028.jpg,"5.8"" Xiaomi Mi 256GB",94576,945,2x2.8,,1,AMOLED,,6419,15
328,75778,/upload/379904.svg,"7.2"" Texas Instruments 32GB",386617,3866,2x4.8,33,1,,,6314,12
329,18046,/upload/804124.svg,"5.3"" Asus 32GB",430487,4304,6x1.6,22,4,OLED,1280x1080,5697,3
330,89535,/upload/671344.jpeg,"6.6"" VIVO 208GB",433955,4339,6x3.0,,,AMOLED,,4793,
332,66610,/upload/21020.jpg,"5.3"" Toshiba 144GB",143395,1433,2x3.8,19,3,,,,9
334,34233,/upload/517359.jpg,"7.4"" Kingston 128GB",414819,4148,8x4.9,62,,,2560x1200,,11
335,90055,/upload/633640.jpeg,"7.4"" NVIDIA 224GB",458117,4581,2x2.3,,,IPS,,,10
336,36459,/upload/689641.jpeg,"7.5"" SanDisk 208GB",122650,1226,4x4.5,,2,IPS,1600x1200,4216,2
337,10126,/upload/384302.png,"5.3"" Samsung Note 80GB",36618,366,2x3.5,114,3,AMOLED,1366x2160,,
338,68658,/upload/835531.png,"6.2"" VIVO 96GB",457506,4575,4x4.0,101,2,OLED,1280x1366,,10
339,25853,/upload/814655.png,"6.9"" Lenovo 208GB",195654,1956,8x5.0,74,,,2560x1200,6859,8
341,83511,/upload/842785.jpg,"6.5"" Google Pixel 224GB",252464,2524,2x2.2,,,AMOLED,1920x1200,,
342,71754,/upload/438309.jpeg,"5.7"" Seagate 96GB",117035,1170,2x4.2,,2,,1366x1200,4253,
343,26516,/upload/840961.jpeg,"6.0"" Xilinx 256GB",218183,2181,6x3.4,,1,OLED,2560x1200,2497,2
344,79668,/upload/947933.jpeg,"7.4"" iPhone 12 224GB",113000,1130,8x2.2,123,,IPS,,2819,
346,69509,/upload/441707.webp,"7.4"" Acer 16GB",210705,2107,2x3.8,,2,OLED,2560x1080,2419,13
347,97377,/upload/94382.jpeg,"7.0"" IBM 96GB",77947,779,4x2.9,56,2,,1920x1366,3754,
349,73534,/upload/520380.jpeg,"7.2"" HTC 80GB",289769,2897,6x4.5,61,3,AMOLED,1280x1080,6411,
351,71502,/upload/832066.jpeg,"6.6"" Nokia 208GB",184253,1842,4x3.4,116,,,1600x768,5296,2
352,84473,/upload/204480.jpeg,"7.3"" Blackberry 208GB",269684,2696,8x2.2,31,3,AMOLED,,,10
353,23238,/upload/618627.jpg,"6.3"" Western Digital 224GB",275995,2759,4x2.6,39,3,,1280x768,,
356,63157,/upload/884969.svg,"6.0"" HTC 80GB",61194,611,6x4.7,126,3,AMOLED,,4724,12
358,31482,/upload/972291.jpeg,"5.1"" AMD 160GB",454559,4545,6x1.2,63,1,IPS,1600x1366,3662,
360,67039,/upload/178685.jpeg,"7.2"" Western Digital 16GB",26878,268,8x2.4,55,,IPS,,2419,5
361,28014,/upload/896932.jpeg,"5.1"" VIVO 256GB",475041,4750,2x3.0,24,2,AMOLED,1024x2160,4317,7
363,51649,/upload/949599.webp,"6.6"" Apple 192GB",294108,2941,8x3.4,25,2,,,2002,
364,65921,/upload/784068.png,"6.9"" VIVO 192GB",224487,2244,6x3.9,,4,IPS,,7713,3
365,85623,/upload/791674.jpeg,"5.1"" Asus 128GB",399255,3992,2x1.7,,4,,,,
369,98520,/upload/388115.png,"7.1"" Marvell 224GB",59062,590,8x4.2,119,,,1920x1366,5001,8
370,44451,/upload/165460.jpeg,"7.2"" NVIDIA 48GB",294156,2941,8x4.5,59,4,AMOLED,1366x1366,,8
371,26855,/upload/821496.png,"7.1"" HGST 256GB",366476,3664,4x5.0,55,,,1366x2160,6946,
374,90540,/upload/950335.webp,"6.7"" Intel 48GB",214889,2148,4x1.5,,2,,,4955,
378,76127,/upload/961909.webp,"5.5"" OCZ 96GB",473032,4730,8x1.4,121,3,,,7815,
382,23233,/upload/205712.jpeg,"6.6"" Samsung S21 160GB",426195,4261,6x3.7,,4,AMOLED,1366x1080,,9
383,44021,/upload/174360.jpeg,"6.9"" Apple 16GB",187670,1876,4x5.0,,,IPS,1366x1440,4582,
385,78860,/upload/215335.webp,"5.4"" Western Digital 16GB",186819,1868,6x2.9,126,3,OLED,1024x1080,3484,14
389,48767,/upload/360915.png,"6.4"" Xiaomi Mi 32GB",66178,661,2x1.4,,1,,1024x768,2921,8
390,32419,/upload/963952.webp,"7.2"" Seagate 96GB",473148,4731,2x4.6,111,,IPS,,6050,10
393,71609,/upload/361270.svg,"5.3"" Toshiba 144GB",179673,1796,8x3.7,39,3,OLED,,5043,
394,85566,/upload/448193.svg,"6.3"" VIVO 48GB",352208,3522,6x4.1,,3,AMOLED,1366x1080,,10
396,59965,/upload/626778.png,"5.1"" iPhone X 112GB",380360,3803,4x2.9,,3,IPS,,7079,12
399,78114,/upload/713481.jpeg,"6.0"" HGST 16GB",367696,3676,4x1.8,36,,,2560x1080,,
400,80493,/upload/421563.png,"6.2"" HTC 224GB",83723,837,6x1.4,26,4,OLED,,7113,
401,96926,/upload/402986.jpg,"5.0"" MSI 256GB",177847,1778,4x4.8,25,2,,,4702,9
402,34205,/upload/229048.jpeg,"5.8"" iPhone 13 128GB",33685,336,4x4.1,21,,,1280x1366,,9
403,24652,/upload/338892.jpg,"6.5"" Marvell 32GB",17958,179,4x1.4,,,IPS,1366x768,,
404,42728,/upload/591945.svg,"5.3"" Blackberry 80GB",250235,2502,8x3.8,109,,AMOLED,,4861,10
408,11252,/upload/294857.png,"7.4"" Hewlett-Packard 240GB",301334,3013,8x3.2,71,,,,5014,
409,10171,/upload/105223.png,"6.6"" Huawei P 160GB",90136,901,4x4.3,103,,OLED,1920x768,7410,
410,29842,/upload/770310.webp,"5.9"" Toshiba 32GB",342266,3422,6x3.7,,,,,3700,10
412,28197,/upload/560960.jpg,"6.4"" Fujitsu 176GB",20164,201,2x3.9,79,,,,2157,
414,77601,/upload/411916.webp,"7.4"" Xiaomi Mi 112GB",102074,1020,6x4.2,,,IPS,1600x1200,2448,12
415,50991,/upload/25130.jpg,"7.5"" Dell 208GB",99090,990,4x4.0,,,IPS,,,
416,17570,/upload/606595.jpeg,"5.1"" Apple 208GB",240871,2408,4x4.2,54,4,OLED,1024x768,4953,10
417,87058,/upload/707916.webp,"6.6"" Plextor 176GB",287474,2874,6x4.9,,2,OLED,1920x1440,,12
418,97478,/upload/22922.svg,"7.1"" Transcend 144GB",150566,1505,8x4.4,88,3,,,,
419,75332,/upload/214073.webp,"5.7"" Lenovo 112GB",358904,3589,8x4.7,,,IPS,,5490,5
420,52389,/upload/155781.jpg,"5.6"" Samsung 160GB",45527,455,8x1.1,57,2,AMOLED,2560x1200,5404,4
421,29620,/upload/798023.svg,"6.6"" Microsoft 96GB",106361,1063,2x2.3,75,3,IPS,1024x2160,4708,
