,category,title,author,pages,publication_year,ISBN,description,rating,watches
33,любовный роман,Ярмарка тщеславия,Фрэнсис Скотт Фицджеральд,491,1888,106-8287738082,small,2.3,29811
8,любовный роман,"Лев, колдунья и платяной шкаф",Артур Конан Дойл,361,1806,574-7758092008,middle,0.6000000000000001,14863
17,научная фантастика,Город призраков,Генрих Сенкевич,232,1842,161-5034967189,very impressive,1.6,37594
10,научная фантастика,Двенадцать стульев,Юстейн Гордер,188,1806,505-2463989346,small,0.4,34763
6,научная фантастика,Под стеклянным колпаком,Харуки Мураками,234,2023,334-1881519094,very impressive,0.5,18578
15,научная фантастика,Аутсайдеры,Александр Пушкин,465,1828,656-8599573802,small,0.6000000000000001,19371
64,научная фантастика,Оно,Алексей Толстой,284,1932,686-8404389858,small,1.1,24825
80,научная фантастика,Великий Гэтсби,Алексей Толстой,162,1854,810-6225838323,very impressive,0.30000000000000004,55330
31,научная фантастика,Женщина в песках,Лев Толстой,488,2020,728-3882724437,description,0.6000000000000001,92104
1,научная фантастика,Ярмарка тщеславия,Борис Пастернак,357,1861,877-8414268454,small,2.6,71206
9,приключения,На игле,Оскар Уайльд,469,1993,529-5869515414,description,0.2,27069
24,приключения,Аутсайдеры,Синклер Льюис,305,1954,506-6060271540,description,0.5,86038
42,приключения,Повелитель мух,Марк Твен,116,1897,923-9549654346,write it yourself,4.8,45198
41,приключения,Франкенштейн,Патрик Зюскинд,248,1969,415-1644733988,very impressive,2.3,31059
85,роман,Сто лет одиночества,Станислав Лем,174,1966,225-1345801023,description,1.9,16396
63,роман,Автостопом по галактике,Исаак Бабель,133,1911,635-8711181542,description,3.8,7712
3,роман,Гарри Поттер и Философский камень,Тед Хьюз,398,1809,477-9594269292,small,4.9,79268
62,роман,Город призраков,Джейн Остин,235,1964,298-4332931709,write it yourself,4.1,63022
36,роман,Американские горки,Клайв Стейплз Льюис,243,2000,827-8782680908,very impressive,2.4,38144
48,роман,Человек-невидимка,Уильям Голдинг,146,1952,247-3692827637,description,1.6,5920
32,триллер,О дивный новый мир,Джозеф Конрад,379,1959,913-4002665409,description,3.9,19612
39,триллер,Мертвые души,Ясунари Кавабата,207,1815,991-2475588553,very impressive,0.8,16889
56,триллер,Мастер и Маргарита,Исаак Бабель,419,1905,106-1650289528,description,3.2,45679
13,триллер,Темная башня,Синклер Льюис,412,1984,200-4782947382,description,0.5,54815
30,триллер,Божество реки,Эрнест Хемингуэй,409,1988,875-9565322495,description,3.3,43339
2,триллер,Алхимик,Джейн Остин,443,1826,952-8493193166,description,4.7,57930
71,триллер,Колыбель для кошки,Эрнест Хемингуэй,307,2003,294-6879747580,description,3.2,89132
52,триллер,О дивный новый мир,Уильям Голдинг,352,1850,602-6759915263,small,2.8,97666
28,триллер,По направлению к сваолу,Умберто Эко,443,2014,123-8199007700,very impressive,3.8,24734
77,триллер,Гроздья гнева,Патрик Зюскинд,146,1894,712-2581841265,small,1.7000000000000002,9395
60,фэнтези,Мертвые души,Фрэнсис Скотт Фицджеральд,478,2008,228-4791665102,small,3.7,20738
83,фэнтези,Преступление и наказание,Роберт Льюис Стивенсон,309,1996,688-3417930072,middle,2.3,43916
82,фэнтези,Волхв,Колин Маккалоу,197,1901,876-2900587661,very impressive,5.0,61662
81,фэнтези,Преступление и наказание,Юстейн Гордер,392,1935,502-7313216317,write it yourself,1.6,95179
79,фэнтези,Свет в лесу,Колин Маккалоу,394,1897,258-5215356988,description,4.7,96164
5,фэнтези,Заводной апельсин,Синклер Льюис,267,1924,132-8939681379,small,3.5,46833
61,фэнтези,Твин Пикс: Воспоминания специального агента ФБР Дейла Купера,Клайв Стейплз Льюис,435,1976,220-4127667815,small,4.5,37691
26,фэнтези,Бухта Эсмеральда,Патрик Зюскинд,202,1896,461-4745031099,small,0.7000000000000001,17102
53,фэнтези,Сумерки,Фрэнсис Скотт Фицджеральд,380,1849,890-1178541540,description,5.0,27024
70,фэнтези,Дюна,Габриэль Гарсиа Маркес,296,1860,424-8380942230,middle,4.3,8950
23,фэнтези,Твин Пикс: Воспоминания специального агента ФБР Дейла Купера,Фрэнсис Скотт Фицджеральд,391,1948,144-2622195941,very impressive,4.9,88593
68,фэнтези,Белый шум,Антон Чехов,495,1942,658-7941289349,middle,3.9,27373
11,фэнтези,По направлению к сваолу,Харпер Ли,203,1823,386-6411957491,small,0.9,82861
21,фэнтези,Преступление и наказание,Антон Чехов,485,1996,699-8771827713,middle,3.4,26173
27,фэнтези,На игле,Жюль Верн,419,1921,779-3240872413,write it yourself,4.9,47469
0,фэнтези,Алхимик,Генрих Сенкевич,288,1849,272-2613931312,middle,3.4,73135
